Title,PublicationPlace,PublicationPlaceState,PublicationPlaceCountry,Latitude,Longitude,Year,YearEnd,Gaps,Platform,Section,AccessLevel,URL,Last_Update,Language,Type,PlaceNotes,Subject1,Subject2,Subject3,Notes
Belfast News Letter,Belfast,,United Kingdom,54.597,-5.9301,1797,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=243124,Sep-22,English,Newspaper,Ireland,Politics,,,
Bermuda Gazette and Weekly Advertiser,Bermuda,,Bermuda,32.299507,-64.790337,1785,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=206540,Sep-22,English,Newspaper,Caribbean,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1793,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=194848,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1794,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=195061,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1795,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=195268,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1796,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=195479,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1798,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=195696,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1799,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=206573,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1800,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=195943,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1801,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=243170,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1802,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=243421,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1803,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=243650,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1804,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=243927,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1805,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=244174,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1806,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=244341,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1807,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=244605,Sep-22,English,Newspaper,India,Trade,,,
"Bombay Courier,",Bombay,,India,18.9667,72.8333,1808,,,Adam Matthew,Section III,a subscription service (BC institutional login necessary),http://www.18thcjournals.amdigital.co.uk/contents/document_detail.aspx?documentid=244864,Sep-22,English,Newspaper,India,Trade,,,
